Series Name,Series Code,Country Name,Country Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,United States,USA,23.67835133,22.56576321,20.91960246,21.50830952,22.19919622,23.44586221,23.63807387,22.27698446,23.39227568,21.60531617,19.90139916,21.93526659,20.49765271,19.22137214,19.72385718,20.55429765,19.89887791,18.94942471,18.99938492,17.91467024,17.35927344,18.14329233,18.90882017,19.70450441,20.80373671,21.20769016,20.78786732,20.53258256,19.32951842,18.13675855,17.27303511,17.55310655,17.91321258,18.81866282,17.28556148,15.07255245,13.87139669,15.1721917,16.00380139,18.12624377,18.64080346,19.63508587,19.75042482,18.66929324,19.17633842,19.3223607,19.24730465,18.9471498,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,United Kingdom,GBR,20.58550505,17.75269954,16.8642753,18.05786197,19.38552191,19.79788625,19.18554921,17.84274981,16.77314132,16.66050329,17.19992723,17.46467801,17.22001811,15.99376436,16.36911576,16.59030214,16.52088474,15.36185769,14.6416667,13.48388143,13.34515787,15.17596353,15.34605982,15.6157634,16.02543084,16.79771003,15.46038936,15.97903396,15.95660566,15.80015676,15.75092453,15.04119657,15.59877765,15.21806742,15.08508681,13.67660675,11.79431504,12.98879527,13.88331934,12.57418144,11.91770859,12.72039311,12.83464299,12.80249455,14.79034149,14.31986331,15.28236278,14.22956712,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Mexico,MEX,..,..,..,..,..,..,22.50911307,26.95359282,26.36181145,27.95453572,30.2661058,27.86646139,28.01281923,22.21275999,26.98855469,21.41538248,20.49630984,20.49906009,18.73071501,16.89257481,20.37811275,20.71578569,23.48380941,23.50752667,24.15179481,23.97929607,22.92599097,21.8569367,20.98771322,19.90817278,19.44685799,22.4341527,21.73928889,23.90066912,23.6546063,23.55528892,23.37469056,24.04669243,24.21103308,23.74016617,20.75606141,21.79944272,22.3378557,22.91195833,23.78571626,24.3402654,24.35865054,24.55063787,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.7686668,31.57447697,30.83235702,29.13302597,29.4276409,28.07657077,26.88053223,27.04049963,27.57067025,27.70193868,27.88599065,28.39029819,26.86139815,23.82244092,24.86522197,23.87850103,23.32077978,23.52191979,24.040123,26.1261391,26.4890174,27.20688064,26.65065093,26.94972999,26.33389037,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,"Korea, Rep.",KOR,..,..,..,25.65716546,28.63196245,31.49524923,30.71046408,25.33359979,24.85677622,26.6670864,30.40130006,32.55552171,32.75906541,36.20017344,39.65032095,41.74063232,38.8341157,39.06532278,39.07741424,38.1841611,38.24900054,37.99234128,37.8214666,36.09239342,36.10784866,38.2181002,35.77026017,34.12189691,32.15525476,31.5715756,33.09735075,35.52382999,34.00580471,32.98688973,33.53851155,33.31344269,33.33311032,34.99239663,34.45799974,34.30519343,34.62841377,34.81852526,36.23526107,36.65134711,36.86401691,35.7111529,34.48277126,35.85502359,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.71440915,28.263631,27.49740111,22.42673561,20.20255305,29.40408511,37.11696722,32.96863762,29.33373563,29.15863223,30.92877548,31.30569875,31.57973213,31.97611085,30.92951308,21.57753473,27.12149757,29.63236537,28.10530044,25.15560579,25.34877943,27.11747287,25.72870938,26.37322169,29.67240162,27.56323868,27.74906528,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Saudi Arabia,SAU,46.25578918,74.76287241,59.35990019,59.8393216,48.22567565,34.73703704,38.83785082,51.7468951,46.81725711,32.32511167,22.54565701,18.74020672,15.42971725,12.14014434,11.97929665,14.99431106,12.50189891,14.63300507,8.419653295,16.53364432,15.21009499,15.31154884,19.50442941,22.15041246,22.77114126,16.62099424,25.28899654,30.11645842,27.76022829,29.07082025,34.69725816,41.8614512,48.25428338,48.01695942,48.18672815,51.83827352,35.87627741,42.99035707,49.87118624,48.20894243,43.81307557,38.09218977,24.84660358,26.5873499,29.90681794,32.90498718,33.26569141,24.71092798,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,South Africa,ZAF,30.78094897,33.04484958,27.35274853,26.4161452,26.91352917,27.96764668,29.75363002,33.70956188,29.11596783,25.41975765,24.42879319,22.98449412,23.31375438,22.12546565,20.33260967,20.28215275,21.02929522,16.73920222,16.91662506,16.31195508,16.10955852,15.61771795,17.00762056,15.97215083,15.16112724,15.08260225,14.72529111,15.42981325,15.17875178,18.34260255,18.82605511,17.27234748,18.00612636,18.41790755,17.52085064,16.79883576,17.73385249,17.48302059,16.48779942,13.84424166,14.1806569,14.02970657,14.62401423,14.66364442,14.64988085,13.95434381,13.81048208,14.89885126,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Turkiye,TUR,..,32.28762738,33.00751409,34.30705015,32.11787259,31.16069417,34.0828486,29.30214203,33.18608879,32.60633355,29.51308747,30.15503179,35.64599535,39.37716012,24.76453189,29.2350113,26.65525228,22.05811905,18.90843308,18.67355994,18.80438648,18.65595835,19.98341949,22.15787239,20.82341854,26.01235381,22.12529867,21.72082232,22.06698672,22.88640138,21.02510226,22.61699726,23.89378282,24.89422639,24.13463651,24.86571935,22.21165082,21.98195671,23.22801884,23.55666901,24.12884335,25.11953665,25.4994259,25.24670537,26.35377241,28.12237723,26.5000173,27.20101243,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,European Union,EUU,..,..,23.3890183155952,23.4114481912508,23.0220544003162,23.3817807887761,23.2008685879164,22.3426620533316,20.7668855229796,20.4299053803564,20.7599301638347,21.4088859259476,21.4858906540379,22.3463413282237,22.0158196865885,22.9514722514046,23.3051400373491,23.4494405534245,22.6231496780425,21.9089318791321,21.4672025425555,21.845263922061,22.8742998564739,22.5669715261531,23.0513631671081,23.366527458181,23.1811903225877,23.1208625712423,23.0667762396699,22.8984266697848,22.4522346824245,23.1404302346825,23.0806170020206,23.8158699553556,24.4380989469949,23.4039697649258,21.1077038522017,21.6716570671108,22.4660697831349,22.2392917967169,22.509445895026,23.1175368738565,23.9474855491005,24.2895391355947,24.9063694252578,25.2294177448061,25.5716180198675,24.6958165282482,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.955213436,16.0266787541,16.0963136586,16.1641875828,16.2303664921,16.2949130979,16.2054700992,16.1197727228,16.0375905099,15.9587115279,15.8829405453,15.8100974185,15.7400156617,15.6725411769,15.6075311225,15.544852904,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.4746543779,20.8912154347,21.3380125053,21.8184615779,22.3365133507,23.7402095268,25.3450324468,27.1975452472,29.359886202,27.3445501097,24.4451109778,23.3722454585,21.5667409358,22.3551502146,23.1679169071,22.999761362,14.9927547464,12.8546348432,14.8207336823,16.6356805161,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.9586294879,21.6941474905,22.421185372,23.1398889486,23.8504007124,24.5528599256,25.2474027117,25.9341621432,26.6132683267,27.2848484848,27.9490270363,26.4616125924,25.1617757713,24.0161381653,22.9987972738,23.4664271898,23.9668239668,24.5035566094,25.0807319699,25.7857400128,25.0188508521,25.4872107186,23.8345864662,23.6951364176,24.0029761905,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3143946954,11.5051642728,11.7009316869,11.9018959466,12.1082667689,12.3202653085,12.6888867636,13.0644655227,13.3324658637,13.6063538524,13.6962617808,13.7856796584,13.8746114811,13.963061201,14.051032728,14.1385299294,14.2255566312,14.2255566312,14.2255566312,13.1171998473,13.0212487522,13.2654892555,13.5237414985,13.8913390039,14.2804323094,13.8756248862,13.4830220947,13.4567628718,13.4304877039,13.4304877039,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,China,CHN,..,..,..,..,..,..,..,1.5255837854,2.7062030263,3.8438359526,4.9407882845,5.9992037382,6.171787303,6.3426063426,6.5107769383,6.6763602099,6.8394154112,7,6.2383228116,5.5016056022,4.7886412516,5.6306148137,6.4615673594,7.2817138714,8.0912637766,8.8904211252,9.6793847618,10.4583484904,10.8061874167,11.1529340093,11.4985934055,11.8431707105,12.1866709978,12.1711680112,12.4277962542,12.5906735751,12.7601501194,12.9786513046,13.1754503002,12.0835405271,12.3410276238,12.800400534,13.2753720114,15.9630475812,16.5469768673,17.6344443521,18.6225337142,20.1293674414,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,16.9217540843,16.6858754785,16.4573332804,16.2357904606,16.020930322,15.81245499,15.4493016654,15.2520333495,15.9263769602,16.6678815541,17.4871062539,18.3969460895,19.4133157548,18.9005717712,18.4132486843,17.9495017424,18.0865366986,18.4323539407,17.5180117395,17.4693236478,17.4633167016,17.5296998277,18.09526842,19.5486911355,19.377150481,19.7529568199,18.2113713262,19.1711506254,20.1826416762,19.3537751401,18.5517143264,19.57335754,20.0066800267,19.7461112723,20.2079124025,20.2079124025,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.613533626,21.4047381771,22.1223644904,22.8250087412,23.6424200547,23.8086488741,23.8797158244,24.192751991,24.8886917999,25.3469474144,26.0126356355,25.9826614165,25.951074328,25.9177405917,26.8518399723,27.8308565997,28.8581101353,28.5641063745,28.2719427627,27.9816020777,30.0295980301,32.4313220863,35.2870800326,35.6845580941,36.09307837,36.5131074824,36.5131074824,36.5131074824,36.5131074824,36.5131074824,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,India,IND,..,..,3,3.045931524,3.0892051371,3.1300450592,3.1686509797,3.2052013231,3.2398560064,3.2727587775,3.3040392091,3.3338144032,3.362190457,3.6914910729,4.0199188788,4.3474773402,4.6741699043,5,5.2246399499,5.4397793442,5.6460084034,5.8438694502,6.0338616715,6.2164453235,6.3920454545,6.5610552081,6.7238387613,6.880733945,6.9388929748,6.9943171173,7.0471948504,7.0976977216,7.145982208,7.1921913351,7.2364560923,7.2788966725,7.3196235622,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,7.358738502,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.3608850629,7.1180340315,7.8033837552,8.4266848313,8.9959987634,9.5180485309,9.9984853261,10.44209395,10.8529527182,11.2345592114,11.5899300897,10.7740556242,10.0824227746,9.4886601363,8.9733665627,8.5219510073,8.743800688,8.950458072,9.1434320504,9.3240381014,9.493428318,9.6526160096,9.8024959896,9.9438614038,10.0774177709,10.3866715579,10.6901430593,10.6901430593,10.6901430593,10.6901430593,10.6901430593,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Italy,ITA,16.80351975,16.7961009051,16.7888616269,16.78254444,16.7763759976,16.7703511073,16.7644648156,16.7587123944,16.6703374118,16.579756285,16.4868853603,16.3916367007,16.2939178079,16.1943755778,16.0921735086,15.9872035476,15.8793517089,15.7684976607,16.274805623,16.7691175813,17.2518548779,17.7234193513,18.1841944522,18.6345462827,19.0748245671,19.5053635573,20.1740401222,20.0138084518,20.7310885481,21.5066825176,22.3480029312,23.2637742804,24.2643366536,25.5297809437,26.9177759157,16.9209302326,27.1819903832,27.3537340256,27.5243342018,27.6938022937,27.7777777778,27.7651049892,27.7524277524,27.570230485,27.3871119473,27.2030651341,27.1601297552,27.1171437002,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.8480698053,10.907550327,10.9670308487,11.0265113704,11.0859918921,11.1454724138,11.2049529355,11.2644334572,11.3239139789,11.3833945006,11.4428750223,11.4813037872,11.519732552,11.5581613168,11.5965900816,11.6350188465,11.8394355384,12.0556704909,12.2847791141,12.527946343,12.7865071356,12.8527433851,12.9213123841,12.992339576,13.0659595625,13.1423169551,13.1423169551,13.1423169551,13.1423169551,13.1423169551,13.1423169551,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,51.6284233901,53.4436480098,55.3719138229,57.4241194611,59.6126111018,61.9514310494,61.4492006189,60.9558698245,60.4712041885,59.9949773983,59.5269709544,59.5076259947,59.4883258818,59.4690704598,59.4498595738,59.4306930693,59.0945674044,58.7627721013,58.4352240124,57.7124756335,43.8302578491,46.7246606037,52.4834912432,55.2660008959,56.9380032435,61.7524068852,47.882986913,70.3629742746,72.9271588257,71.5030408341,74.1464750853,75.7224681073,70.9520331142,73.1390900306,73.4541157936,73.0682027085,73.9548693587,73.9548693587,73.9548693587,73.9548693587,73.9548693587,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.9534883721,13.2231404959,14.0562248996,14.1721854305,13.9869281046,13.8421733506,14.1355288157,14.0350877193,14.1439205955,14.195247969,14.2465753425,14.4803161979,14.6484255392,14.1878208449,14.5683768167,14.5304180094,16.1999089253,14.7401837176,14.7183579367,14.701612543,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Japan,JPN,..,..,..,..,..,..,..,15.5328798186,15.7945893407,16.0546496519,16.3130762924,16.5698846079,16.8250897524,17.0787066913,17.3307502043,17.5812348882,17.8301751601,18.0775852595,18.3391509348,18.5995623632,18.5291519435,18.4574230941,18.3843384338,18.4680613668,18.5504038951,18.7801460285,19.0097695853,19.2392746572,19.2357034834,19.2321323095,19.1752870836,19.1179624026,19.060152175,19.0018502054,18.9202217402,18.9199021531,18.919582566,18.8529204785,18.7858466425,18.7183572314,18.6504483708,18.5821161382,18.5133565621,18.4441656211,18.4110970996,18.9633375474,18.8775510204,18.8775510204,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.7306757414,22.5974679299,23.406946201,24.1646131873,24.8752889646,25.6234709178,26.3322703347,27.0047169811,25.2475758201,23.953564949,22.6558559957,26.306880233,29.5339985598,28.2853127196,26.8380112557,23.7123287671,25.445040628,25.5586445019,25.6719026925,25.7848167751,25.8973883156,26.0096188704,26.1215099864,26.2330632013,26.3442800433,24.3008678881,24.6362897866,24.6362897866,24.6362897866,24.6362897866,24.6362897866,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.5473411154,18.7536628248,18.9685337175,19.1924964039,19.426140405,19.6701073351,19.9250967851,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,20.2416918429,24.4880666573,26.2247838617,28.1524926686,27.4646793976,26.4578833693,26.4578833693,26.4578833693,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.9130434783,9.2076994532,9.4864032388,9.7504161309,10.0008698701,10.2387828595,10.4650740064,10.6805745826,10.8860384286,10.393147396,9.9183183764,9.4605764088,9.0190154612,9.008874017,8.9987325729,9.4641959348,9.9486953972,10.4534231201,10.9796729329,11.5288514094,12.1024904215,12.2680921791,12.27470744,12.1818621134,13.073451993,13.4903640257,13.0501692829,13.0501692829,13.0501692829,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.1387782703,18.4704708337,19.8186548204,21.183638479,22.5657377883,23.9652767013,25.2670807453,26.5733395551,27.8840760361,29.1993132511,30.5190744215,30.1963267142,29.883758852,29.5808966862,29.2872950635,29.0025356436,28.7262249102,28.4579923564,28.1974888274,27.9443850043,27.6983700149,27.4591501601,27.2264477444,27,23.1703747073,19.9892818864,19.842519685,20.0722394221,15.0982367758,16.6666666667,16.2073780782,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Turkiye,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.4556962025,15.6579376892,14.8928559815,14.1584836721,13.4530081843,12.7747568354,12.122183596,11.4938573248,16.2560325121,12.2917984398,12.5328750358,12.6693801845,13.5141033335,13.4313894678,13.3529852869,12.3653449461,10.8236134254,10.8482615115,10.7547424256,10.3031266561,10.2247540135,10.042349039,10.2159452237,10.2803738318,10.7099153755,11.1324302205,11.086959419,10.8656807239,11.1023544875,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.8014194795459,22.1219341494985,22.5355763416643,22.9432758121042,23.0030025157958,23.2552120614057,23.2594038346861,..,..
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.18084337444251,3.3907141955962,2.72684750122498,2.67920601141364,2.98195821294241,1.84399576317014,1.22770795872113,1.53673589612636,1.53372870982538,1.79255873857878,1.57420132816491,1.70027750562075,1.73479928371252,2.95778551361675,5.7029147138395,4.15006400338998,4.29211290587395,3.09408943019472
